,index,source,destination,distance
0,,Larkin Terminal,Pejabat Daerah Tanah Johor Bahru,0.603560773124298
1,,Larkin Terminal,RTM Jabatan Penyiaran Negeri Johor,1.9666806003942678
2,,Larkin Terminal,Opp Masjid Kolam Ayer,3.1477385155543667
3,,Larkin Terminal,Opp Jabatan Pendidikan Johor,3.3073401971050513
4,,Larkin Terminal,Maktab Sultan Abu Bakar (English College,3.7758419799499476
5,,Larkin Terminal,Hospital Sultanah Aminah,4.335952638015176
6,,Larkin Terminal,Johor Islamic Complex,4.460204204825869
7,,Larkin Terminal,Bangunan Sultan Ibrahim,4.557704392161963
8,,Larkin Terminal,Wisma Persekutuan,4.2456840935172515
9,,Larkin Terminal,Majlis Bandaraya Johor Bahru,4.96521929415548
10,,Larkin Terminal,JB Sentral Terminal,4.353419234180334
11,,Larkin Terminal,Menara MSC Cyberport,4.931038964193668
12,,Larkin Terminal,Opp Sekolah Kebangsaan Perempuan Jalan Yahya Awal,2.6831964209395958
13,,Larkin Terminal,Petronas Kiosk @ Jalan Yahya Awal,2.39001535784175
14,,Larkin Terminal,Opp SJK (T) Jalan Yahya Awal,2.0146888122017677
15,,Larkin Terminal,aft Jalan Tasek Utara,1.7616607113663671
16,,Larkin Terminal,Opp Yayasan Bandaraya Johor Bahru,1.4788349682970334
17,,Larkin Terminal,Hub PPR Sri Stulang,4.884270079809368
18,,Larkin Terminal,bef Jalan Sultanah Aminah,4.639413292124844
19,,Larkin Terminal,Shell Kiosk @ Jalan Pasir Pelangi,4.7266198482429465
20,,Larkin Terminal,Stulang Walk,4.7757221348720655
21,,Larkin Terminal,Block 18,5.01783097913288
22,,Larkin Terminal,Opp De' Stulang,5.169994965663789
23,,Larkin Terminal,Opp Sekolah Menengah Foon Yew,5.093044316145294
24,,Larkin Terminal,R&F Mall,4.919009254460017
25,,Larkin Terminal,Sekolah Menengah Foon Yew,5.087878144628951
26,,Larkin Terminal,De' Stulang,5.1667690408394735
27,,Larkin Terminal,Opp Istana Pasir Pelangi,4.607523807601136
28,,Larkin Terminal,"The Mall, Mid Valley Southkey",3.7017234977407036
29,,Larkin Terminal,aft Jalan Pasir Pelangi,4.498140983423757
30,,Larkin Terminal,Petronas Kiosk @ Taman Bayu Puteri,5.0939337258891575
31,,Larkin Terminal,Opp Petronas Kiosk @ Taman Bayu Puteri,5.082393451681231
32,,Larkin Terminal,PPR Sri Stulang,5.065773235120445
33,,Larkin Terminal,BHPetrol Kiosk @ Permas Jaya,7.694828720368208
34,,Larkin Terminal,AEON Permas Jaya,8.442372882424825
35,,Larkin Terminal,Dewan Serbaguna Permas Jaya,8.939284370838871
36,,Larkin Terminal,Mon Glori Apartment,8.729937528037558
37,,Larkin Terminal,Opp Best Ku Motor,8.971011962829763
38,,Larkin Terminal,Opp Kia Motors,8.760016203286526
39,,Larkin Terminal,bef Jalan Masai Baru,8.261390562538232
40,,Larkin Terminal,Lotus Plentong (Tesco Extra),8.384921409520894
41,,Larkin Terminal,aft Jalan Masai Baru,8.219150929147244
42,,Larkin Terminal,Giant Plentong,8.760773752864718
43,,Larkin Terminal,Hse No. 1 Jalan Seroja 22,8.756584716957075
44,,Larkin Terminal,Opp Jalan Keembong 43,8.015498605334408
45,,Larkin Terminal,Jalan Seroja 54,7.7051840558079245
46,,Larkin Terminal,Jalan Bakawali 86,7.714722290798359
47,,Larkin Terminal,Opp Pasar Awam Johor Jaya,8.16835349364875
48,,Larkin Terminal,AEON Tebrau City,8.499650548031141
49,,Larkin Terminal,Hospital Sultan Ismail,7.890723083204227
50,,Larkin Terminal,Hospital Sultan Ismail 2,7.48622725534031
51,,Larkin Terminal,Opp Suntoyo Enterprise,7.9320640668905975
52,,Larkin Terminal,Kia Motors,8.798069414019187
53,,Larkin Terminal,Best Ku Motor,8.99758475654178
54,,Larkin Terminal,House No. 63 Jalan Permas 1/1,8.5327747550388
55,,Larkin Terminal,Jalan Permas 5/6,8.255223839647389
56,,Larkin Terminal,Sekolah Kebangsaan Taman Permas Jaya 3,8.538510150145552
57,,Larkin Terminal,Pan Vista,8.730066394061806
58,,Larkin Terminal,aft Jalan Permas 8/14,9.139352260525259
59,,Larkin Terminal,Opp BHPetrol Kiosk @ Permas Jaya,7.716688494334984
60,,Larkin Terminal,bef Shell Kiosk @ Permas Jaya,6.813219138135984
61,,Larkin Terminal,Taman Universiti Terminal,13.618309218710525
62,,Larkin Terminal,opp Sekolah Kebangsaan Taman Universiti 4,13.631038599621531
63,,Larkin Terminal,Surau As Syakirin,13.26969843974574
64,,Larkin Terminal,Opp SMK Taman Mutiara Rini,12.466813550754722
65,,Larkin Terminal,Opp Jalan Utama 34,12.038131465358939
66,,Larkin Terminal,KFC (Road side),11535.246850893122
67,,Larkin Terminal,Tesco Lotus (Road side),11535.246850893122
68,,Larkin Terminal,Opp Hutan Bandar MBIP,12.247972208996753
69,,Larkin Terminal,Shop No. 81 Jalan Seri Orkid 17,11.393074373093347
70,,Larkin Terminal,Opp Bahagian Teknologi Pendidikan Negeri Johor,10.769972406671384
71,,Larkin Terminal,Union Inn,9.860652751366239
72,,Larkin Terminal,Shophouses @ Jalan Nakhoda 2,9.705439171715676
73,,Larkin Terminal,bef Terminal TUTA,9.572024638616375
74,,Larkin Terminal,Polilkinik Yap,9.391379594250411
75,,Larkin Terminal,bef Jalan Tun Teja,9.282574117366826
76,,Larkin Terminal,Shophouses @ Jalan Perwira 9,9.422966898466193
77,,Larkin Terminal,Sin Kok Soon Motor (JB) Sdn Bhd,9.471050755936604
78,,Larkin Terminal,aft Jalan Patin,9.77392098859909
79,,Larkin Terminal,SJK(C) Pu Sze,9.976994476387489
80,,Larkin Terminal,aft Shell Kiosk - Skudai,10.4292928888205
81,,Larkin Terminal,Shell Kiosk @ Taman Sri Putri,11.01854390541581
82,,Larkin Terminal,Masjid Abidin,11.548431281252075
83,,Larkin Terminal,Shophouses along Jalan Tembaga Kuning 4,11.46409562545692
84,,Larkin Terminal,Shophouses @ Jalan Suasa 1,11.808448474878995
85,,Larkin Terminal,bef Jalan Hamoni 14,12.313716184494032
86,,Larkin Terminal,Opp Apartment Pasti Asli,12.434489682427957
87,,Larkin Terminal,Opp Surau As Syakirin,13.250665642556665
88,,Larkin Terminal,Sekolah Kebangsaan Taman Universiti 4,13.637560220805339
89,,Larkin Terminal,Jalan Kebudayaan 27 / 24 Intersection,13.569684515116297
90,,Larkin Terminal,Aeon Taman Universiti,13.66681495756886
91,,Larkin Terminal,UTM Fakulti Alam Bina,14.014290781712711
92,,Larkin Terminal,Opp Block D10,14.021740570022745
93,,Larkin Terminal,Opp C.I.C.T.,13.76401938827244
94,,Larkin Terminal,Block P07 - Fakulti Kejuruteraan Elektrik,13.39614872252859
